classification, true_output, bin_output
1,0.99771035,1
2,0.992916,1
3,0.9985655,1
4,0.9948184,1
5,0.9971527,1
6,0.9930033,1
7,0.9753479,1
8,0.99661946,1
9,0.96024036,1
10,0.99277556,1
11,0.998357,1
12,0.99956864,1
13,0.9996499,1
14,0.9997832,1
15,0.9997377,1
16,0.9999895,1
17,0.99998224,1
18,0.9999968,1
19,0.9998827,1
20,0.99874544,1
21,0.9669749,1
22,0.9929437,1
23,0.96052605,1
24,0.9801165,1
25,0.99069864,1
26,0.9926438,1
27,0.9774146,1
28,0.8198858,1
29,0.94649607,1
30,0.99396545,1
31,0.9993755,1
32,0.9999318,1
33,0.999908,1
34,0.9997459,1
35,0.99998987,1
36,0.9999975,1
37,0.9999987,1
38,0.99999976,1
39,0.9999988,1
40,0.99999976,1
41,0.9999988,1
42,0.9999994,1
43,0.99999654,1
44,0.99877816,1
45,0.99972373,1
46,0.9868891,1
47,0.06706989,0
48,0.010836425,0
49,0.0006633201,0
50,0.0014418474,0
51,0.004679814,0
52,0.007951132,0
53,0.016437441,0
54,0.0063236495,0
55,0.014396382,0
56,0.41293344,0
57,0.069123775,0
58,0.10280636,0
59,0.71662027,1
60,0.63096875,1
61,0.6145936,1
62,0.9227941,1
63,0.981433,1
64,0.87615275,1
65,0.978295,1
66,0.9997639,1
67,0.9998142,1
68,0.9984773,1
69,0.99920136,1
70,0.9980088,1
71,0.99589854,1
72,0.9983758,1
73,0.99670273,1
74,0.9683355,1
75,0.9427775,1
76,0.8514673,1
77,0.34294257,0
78,0.9973912,1
79,0.9949124,1
80,0.9897069,1
81,0.9947529,1
82,0.9972922,1
83,0.99280643,1
84,0.9424501,1
85,0.98036844,1
86,0.9913476,1
87,0.9992725,1
88,0.99889624,1
89,0.9999219,1
90,0.9990766,1
91,0.99856216,1
92,0.99968946,1
93,0.99922776,1
94,0.99996126,1
95,0.99992085,1
96,0.9997687,1
97,0.9999387,1
98,nan,0
1,0.99690175,1
2,0.9995721,1
3,0.99876595,1
4,0.9969312,1
5,0.9948355,1
6,0.9833067,1
7,0.94446033,1
8,0.97545767,1
9,0.7651477,1
10,0.93327326,1
11,0.9867132,1
12,0.9996363,1
13,0.9999515,1
14,0.9999932,1
15,0.999997,1
16,0.99986815,1
17,0.99998,1
18,0.9999933,1
19,0.99999666,1
20,0.9999944,1
21,0.9999949,1
22,0.9999889,1
23,0.99997604,1
24,0.9995703,1
25,0.99981314,1
26,0.9995617,1
27,0.99968874,1
28,0.9858111,1
29,0.83581567,1
30,0.16627292,0
31,0.019844525,0
32,4.4679626e-05,0
33,5.164719e-05,0
34,1.591434e-05,0
35,2.5776264e-06,0
36,1.5676976e-06,0
37,0.020541748,0
38,0.0055694683,0
39,0.020669999,0
40,0.16133058,0
41,0.0017110418,0
42,0.01991018,0
43,0.20640717,0
44,0.22218329,0
45,0.39189938,0
46,0.9637058,1
47,0.99556446,1
48,0.9995584,1
49,0.99997795,1
50,0.99999523,1
51,0.99991345,1
52,0.9999969,1
53,0.99849784,1
54,0.5722697,1
55,0.032553535,0
56,0.020671206,0
57,0.08917764,0
58,0.01630527,0
59,0.008104851,0
60,0.008851194,0
61,0.0010998207,0
62,0.0023576454,0
63,0.97071004,1
64,0.9998752,1
65,0.999998,1
66,0.9999993,1
67,0.9999999,1
68,0.99999964,1
69,0.99999714,1
70,0.9999963,1
71,0.9999267,1
72,0.9996941,1
73,0.99989307,1
74,0.99990714,1
75,0.98719805,1
76,0.9484451,1
77,0.74957925,1
78,0.6639358,1
79,0.82742447,1
80,0.9225307,1
81,0.92297554,1
82,0.57428056,1
83,0.24273464,0
84,0.00980396,0
85,0.008688622,0
86,0.008240301,0
87,0.9998288,1
88,0.87469935,1
89,0.007846555,0
90,0.0024791781,0
91,0.00055730797,0
92,0.000103740684,0
93,1.9155168e-05,0
94,4.3419186e-06,0
95,3.0997794e-06,0
96,2.7419642e-06,0
97,9.741435e-07,0
98,3.7527064e-07,0
99,1.05499865e-07,0
100,0.0075036497,0
101,0.2682916,0
102,0.4524546,0
1,0.63799393,1
2,0.16691059,0
3,0.10051178,0
4,0.0047654607,0
5,0.00054469245,0
6,2.063869e-05,0
7,1.5641355e-05,0
8,0.010822016,0
9,0.0138400365,0
10,0.006038652,0
11,0.0085244505,0
12,0.96277994,1
13,0.9708546,1
14,0.96966964,1
15,0.9930434,1
16,0.99991393,1
17,0.9999373,1
18,0.9999691,1
19,0.9999583,1
20,0.99993944,1
21,0.9999931,1
22,0.99998236,1
23,0.9999833,1
24,0.99993706,1
25,0.9997274,1
26,0.99983597,1
27,0.9999883,1
28,0.99999857,1
29,0.9999975,1
30,0.9999999,1
31,0.99999976,1
32,0.9999999,1
33,0.9999958,1
34,0.9999732,1
35,0.9999974,1
36,0.9999981,1
37,0.99997616,1
38,0.99996006,1
39,0.9987198,1
40,0.94159216,1
41,0.8330977,1
42,0.7495655,1
43,0.999275,1
44,0.97893584,1
45,0.25723934,0
46,0.010177336,0
47,0.07578253,0
48,0.05447326,0
49,0.09144809,0
50,0.03522657,0
51,0.025477143,0
52,0.4118238,0
53,0.9265698,1
54,0.9863636,1
55,0.7264694,1
56,0.988025,1
57,0.56379807,1
58,0.8484543,1
59,0.4756385,0
60,0.5126291,1
61,0.07234444,0
62,0.03929047,0
63,0.03739187,0
64,0.012071088,0
65,0.003947433,0
66,0.0027631025,0
67,0.008973827,0
68,0.011290772,0
69,0.0329423,0
70,0.06803793,0
71,0.3142876,0
72,0.06877109,0
73,0.19969213,0
74,0.12560782,0
75,0.50662357,1
76,0.76926315,1
77,0.93303716,1
78,0.8385411,1
79,0.5192103,1
80,0.29430053,0
81,0.22912388,0
82,0.034459237,0
83,0.0699869,0
84,0.9118363,1
85,0.99985373,1
86,0.9998795,1
87,0.99672,1
88,0.9989316,1
89,0.9999107,1
90,0.99873847,1
91,0.9659661,1
92,0.45427364,0
93,0.38044214,0
94,0.63709974,1
95,0.030357892,0
96,0.0015412867,0
97,0.0007766463,0
98,0.00035215128,0
99,0.0001956844,0
100,0.00034566043,0
101,0.0013872829,0
102,0.003658195,0
103,0.029688431,0
104,0.11009935,0
105,nan,0
1,0.9997154,1
2,0.9999162,1
3,0.99995637,1
4,0.9999089,1
5,0.9999629,1
6,0.9998838,1
7,0.9998254,1
8,0.99896896,1
9,0.9995604,1
10,0.9995596,1
11,0.9963594,1
12,0.7707742,1
13,0.024650084,0
14,0.0062215314,0
15,0.064466275,0
16,0.41018596,0
17,0.853048,1
18,0.26907748,0
19,0.0940197,0
20,0.42904806,0
21,0.93094295,1
22,0.31837076,0
23,0.5043069,1
24,0.0325472,0
25,0.011670982,0
26,0.006426556,0
27,0.008221932,0
28,0.00014772883,0
29,0.00027376943,0
30,0.004401471,0
31,0.0018070878,0
32,0.0088220015,0
33,0.0058569787,0
34,0.013279421,0
35,0.60511625,1
36,0.7097241,1
37,0.98313725,1
38,0.9995741,1
39,0.9702626,1
40,0.9330049,1
41,0.38657093,0
42,0.04782188,0
43,0.023631305,0
44,0.55645627,1
45,0.21686132,0
46,0.03391505,0
47,0.00034767098,0
48,0.010513444,0
49,0.010164279,0
50,0.0003458386,0
51,0.0015737204,0
52,0.012383721,0
53,0.006002734,0
54,0.13402379,0
55,0.9189397,1
56,0.9924177,1
57,0.98131794,1
58,0.028756566,0
59,0.034260303,0
60,0.041954827,0
61,0.029346509,0
62,0.0018238672,0
63,0.0003624644,0
64,0.00021041246,0
65,0.00024580053,0
66,1.212104e-05,0
67,4.640656e-06,0
68,9.818418e-07,0
69,2.23671e-07,0
70,4.422587e-05,0
71,2.7032336e-05,0
72,0.0001539157,0
73,0.007961065,0
74,0.37480676,0
75,0.89763266,1
76,0.1857043,0
77,0.03509142,0
78,0.043819144,0
79,0.009778594,0
80,0.013445295,0
81,0.0062872386,0
82,0.042399388,0
83,0.012767006,0
84,0.0033444243,0
85,5.3986885e-05,0
86,6.281079e-06,0
87,3.1654902e-06,0
88,2.9946304e-05,0
89,3.9084112e-05,0
90,6.8615836e-06,0
91,1.9366362e-05,0
92,3.668202e-05,0
93,3.329551e-05,0
94,4.807269e-06,0
95,1.2434019e-05,0
96,6.2031984e-05,0
97,0.00015011655,0
98,0.005313203,0
99,0.74918413,1
100,0.98645014,1
101,0.9996778,1
102,0.999984,1
